Date,PMID,Passage,Data
20190225,24348913,The HARDI-253 dataset was analyzed using MRtrix (www.nitrc.org/projects/mrtrix‎).,nitrc
20181118,24349025,; infant brain templates are available for download at http://www.nitrc.org/projects/pediatricatlas).,nitrc
20190225,24349569,"1240 subjects were analyzed from publicly available datasets released with the open-access 1000 Functional Connectomes Project (http://fcon_1000.projects.nitrc.org/, FCON1000) in which resting-state fMRI scans have been aggregated from 28 sites as well as typically developing subjects from the ADHD 200 project from the International Neuroimaging Data-sharing Initiative (http://fcon_1000.projects.nitrc.org/indi/adhd200/) including 8 sites.",fcon_1000.projects
20190225,24349569,"Data were provided by the Human Connectome Project, WU-Minn Consortium (Principal Investigators: David Van Essen and Kamil Ugurbil; 1U54MH091657) funded by the 16 NIH Institutes and Centers that support the NIH Blueprint for Neuroscience Research; and by the McDonnell Center for Systems Neuroscience at Washington UniversityTask paradigms are as described on the human connectome project website (www.humanconnectome.org) and included an emotional, gambling, language, motor, relational, social, and working memory task with the same acquisition parameters as the resting state data.",humanconnectome.org
20181226,24357914,"Open-source software (soon to be available on NITRC), comparing statistically any given tractography result against the “ground truth” was developed for evaluation purposes.",nitrc
20181226,24357914,All the programs will soon be available on NITRC.,nitrc
20181226,24386543,"3D Slicer: http://www.slicer.org, DTIPrep: http://www.nitrc.org/projects/dtiprep/, AutoSeg: http://www.nitrc.org/projects/autoseg/, itk-SNAP: http://www.itksnap.org/pmwiki/pmwiki.php?n=Main.Downloads, DTIAtlasBuilder: http://www.nitrc.org/projects/dtiatlasbuilder/, MriWatcher: http://www.nitrc.org/projects/mriwatcher/, AtlasWerks: http://www.sci.utah.edu/software/13/370-atlaswerks.html, DTI-Reg: http://www.nitrc.org/projects/dtireg/, BRAINS: http://www.nitrc.org/projects/brains/, ANTS: http://www.picsl.upenn.edu/ANTS/, FIberViewerLight: http://www.nitrc.org/projects/fvlight/, DTIAtlasFiberAnalyzer: http://www.nitrc.org/projects/dti_tract_stat, FADTTS: http://www.nitrc.org/projects/fadtts/, Matlab: http://www.mathworks.com/products/matlab/",nitrc
20181220,24399179,Resting state fMRI images of 153 healthy volunteers (mean age 41.1 ± 18.0 years; 92 males) from the NKI/Rockland sample were obtained through the 1000 functional connectomes project (www.nitrc.org/projects/fcon_1000/).,nitrc
20181115,24409139,"Functional connectomes were generated using the resting-state fMRI toolbox, CONN (http://www.nitrc.org/projects/conn;Whitfield-Gabrieli and Nieto-Castanon,).",nitrc
20181223,24412227,"For the two spiral-in/out scans, we used modified NITRC (NITRC.org) and custom-designed scripts to preprocess data.",nitrc
20181227,24415902,Image data used in are open to the public at the FCON 1000 project website (http://fcon_1000.projects.nitrc.org/).,fcon_1000.projects
20181227,24415902,The details of the cohort are described in and the website (http://fcon_1000.projects.nitrc.org/indi/retro/Power2012.html).,fcon_1000.projects
20181123,24416016,13https://github.com/midasplatform/pydas.,github
20181123,24416016,14http://github.com/midasplatform/rodent.,github
20181118,24421764,We performed our analyses on publicly available imaging data from the 1000 Functional Connectomes Project (FCP; data are available at http://fcon_1000.projects.nitrc.org).,fcon_1000.projects
20181118,24421764,"Surface maps were created with BrainNet Viewer (Xia et al., www.nitrc.org/projects/bnv/).",nitrc
20181123,24438232,"Gene expression data used for this study will be available at dbGaP, accession number phs000486.v1.p1 (http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000486.v1.p1).",dbgap
20181219,24463507,Author Information Data included in this manuscript have been deposited at dbGaP under accession number phs000687.v1.p1 and is available for download at http://www.ncbi.nlm.nih.gov/projects/gap/cgibin/study.cgi?study_id=phs000687.v1.p1.,dbgap
20181221,24463508,BAM and VCF files are available in the dbGaP study phs000473.v1 Sweden-Schizophrenia Population-Based Case-Control Exome Sequencing.,dbgap
20181207,24465679,"Raw epoch data from this study, along with scripts to read the data, can be downloaded from Figshare (http://dx.doi.org/10.6084/m9.figshare.829584).",figshare
20181110,24489671,Source code is also available on GitHub at https://github.com/jeffalstott/powerlaw and Google Code at https://code.google.com/p/powerlaw/.,github
20181110,24489671,"As the source code is maintained in a git repository on GitHub, it is straightforward for users to submit issues, fork the code, and write patches.",github
20190125,24497910,"The replication set in this study was derived from all publicly available SNP data that measured BMI and that was not included in the discovery sample: the NHLBI Multi-Ethnic Study of Atherosclerosis (MESA) SNP Health Association Resource (SHARe), the GENEVA Genes and Environment Initiatives in Type 2 Diabetes (Nurses’ Health Study/Health Professionals Follow-up Study), and the Coronary Artery Risk Development in Young Adults (CARDIA) Study – Gene Environment Association Studies Initiative (GENEVA), as available through NCBI’s database of Genotypes and Phenotypes (dbGaP).",dbgap
20181121,24501703,"To accomplish this, we used the Artifact Rejection Toolbox (ART; http://www.nitrc.org/projects/artifact_detect/) to create confound regressors for motion parameters (3 translation and 3 rotation parameters), and additional confound regressors for specific image frames with outliers based on brain activation and head movement.",nitrc
20181222,24505661,"Second, we randomly select 20 pediatric subjects from NDAR (http://ndar.nih.gov/), with age of 11±3 years at MRI scan.",ndar
20181220,24505722,An implementation of WMQL as well as the definitions specified in this publication can be downloaded at http://demianw.github.com/tract_querier,github
20181222,24505800,T1-image parcellation was performed with CMTK (www.nitrc.org/projects/cmtk) using the SRI24 atlas and it was subsequently registered to the diffusion space.,nitrc
20181220,24507510,"Furthermore, the NIMH-funded Brain Research through Advancing Innovative Neurotechnologies (BRAIN) Initiative and Human Connectome Project (mapping the neural pathways that underlie human brain function), the Neurotherapeutics Network (http://www.neuroscienceblueprint.nih.gov/bpdrugs/- a pipeline between academic and industry drug development research), The Neuroimaging Informatics Tools and Resources Clearinghouse (NITRC - http://www.nitrc.org/), and other large-scale initiatives from the Allen Institute (http://www.alleninstitute.org) have a potential to be even more transformative than the Human Genome Project – but only if the knowledge from the various projects is properly integrated.",nitrc
20181206,24516381,"In both datasets, the reads were aligned to the human genome (version hg19) using TopHat, as specified in https://github.com/nachocab/vaccinia_filone_2013/blob/master/sequencing.sh.",github
20181206,24516381,The code is available at https://github.com/nachocab/vaccinia_filone_2013/.,github
20181207,24520327,Animal studies indicate that En2 and these 5 flanking genes are co-expressed (www.brain-map.org; genome.ucsc.edu/cgi-bin/hgVisiGene) and coordinate similar neurodevelopmental processes.,brain-map.org
20181121,24555763,for GEO Accession Number GSE15745 and dbGAP Study Accession phs000249.v1.p1.,dbgap
20181220,24560717,The current study utilized the Nathan Kline Institute (NKI) test-retest (TRT) dataset publically available via the International Neuroimaging Data-Sharing Initiative (INDI: http://fcon_1000.projects.nitrc.org/indi/pro/eNKI_RS_TRT/FrontPage.html).,fcon_1000.projects
20181220,24560717,"As part of the NKI-Rockland protocol, phenotypic characterizations (http://fcon_1000.projects.nitrc.org/indi/pro/eNKI_RS_TRT/FrontPage.html) were obtained for 16 of the 22 participants.",fcon_1000.projects
20181220,24560717,"For display, the p values of the ROIs exhibiting significant connectivity were −log10 transformed and plotted onto an MNI space surface map in lateral and medial view using BrainNet Viewer (http://www.nitrc.org/projects/bnv/) (L = left; R = right).",nitrc
20181118,24567717,"The AutoSeg software pipeline is publicly available under a BSD license on the NITRC website, at http://www.nitrc.org/projects/autoseg.",nitrc
20181118,24567717,The segmentation results and the parameter settings of the testing data set used for our experiment are available at the NITRC web page of AutoSeg: http://www.nitrc.org/docman/view.php/421/1312/MICCAI_2012_Challenge_Data_Seg.zip.,nitrc
20181118,24567717,This software pipeline is publicly disseminated as open source on the NIH Neuroimaging Informatics Tools and Resources Clearinghouse (NITRC) website with accompanying testing datasets (http://www.nitrc.org/projects/autoseg).,nitrc
20181118,24567717,"The parameter settings of AutoSeg used in the Experiments can be found online on the NITRC website of AutoSeg, at http://www.nitrc.org/projects/autoseg.",nitrc
20190101,24578350,Code to generate and analyze genetic maps is available via GitHub: http://github.com/andrewparkermorgan/cc-g2f1/.,github
20181221,24583255,Our primary demonstration and evaluation of the MDMR-based CWAS approach focuses on the identification of connectome-wide associations for IQ using resting state data from the publicly available Enhanced Nathan Kline Institute Rockland Sample (NKI-RS; http://fcon_1000.projects.nitrc.org/indi/enhanced).,fcon_1000.projects
20181221,24583255,Code for all analyses and figures in the paper are available online (https://github.com/czarrar/cwas-paper).,github
20181221,24583255,The four datasets included: 1) IQ: healthy adults with Full Scale IQ estimated with the Wechsler Abbreviated Scale of Intelligence (WASI) from the NKI-RS with ages 18 to 65 (http://fcon_1000.projects.nitrc.org/indi/enhanced); 2) Development: healthy individuals ranging from children to young adults (http://fcon_1000.projects.nitrc.org/indi/retro/Power2012.html); 3) ADHD: typically developing children and children meeting DSM-IV criteria for ADHD sampled from the NYU site of the ADHD200 dataset that were matched for age and sex (http://fcon_1000.projects.nitrc.org/indi/adhd200; ); and 4) L-dopa: healthy adults administered 100mg of L-dopa or placebo double-blind on two separate scan visits.,fcon_1000.projects
20181221,24583255,Datasets 1-3 and the placebo scans from Dataset 4 are publicly available for download from the International Data-Sharing Initiative at http://fcon_1000.projects.nitrc.org.,fcon_1000.projects
20181221,24583255,"Each resting-state fMRI scan was preprocessed via a development version of the Configurable Pipeline for the Analysis of Connectomes (C-PAC, http://fcp-indi.github.com/C-PAC), which builds on AFNI (http://afni.nimh.nih.gov/afni), FSL (http://www.fmrib.ox.ac.uk), and Nipype .",github
20181221,24583255,"The code for these analyses has been made publicly available through the R package Connectir (http://connectir.projects.nitrc.org), which relies on the bigmemory and related packages, and the python library C-PAC (http://fcp-indi.github.com/C-PAC).",github
20181221,24583255,"In years to come, as the availability of data stores through initiatives such as the International Neuroimaging Data-Sharing Initiative (http://fcon_1000.projects.nitrc.org), the Human Connectome Project (http://humanconnectome.org) and U.K. Biobank help to bring sample sizes towards the 10,000 mark, emerging technologies for data-intensive computing (e.g., GPUs) will help to maintain the practicality of MDMR and similar approaches.",humanconnectome.org
20181221,24583255,"Consequently, future investigations would be well served by applying CWAS to emerging freely available large connectivity-phenotype datasets (e.g., http://fcon_1000.projects.nitrc.org, http://openfmri.org).",fcon_1000.projects
20181120,24586791,Annotated pipeline codes used during the course of this experiment and described in this report are freely available and publicly hosted at http://mrhunsaker.github.io/NeuroImaging_Codes/.,github
20181120,24586791,"Next, the scans were aligned along the anterior and posterior commissures (AC-PC alignment) by using a rigid transformation [brain could only be rotated and translated, but never warped, stretched, or compressed] to a previously manually aligned, age-appropriate template brain using the Advanced Normalization Tools package (ANTS; http://stnava.github.io/ANTs/).",github
20181120,24586791,The shell script containing the landmark matching protocol and documentation is freely available and publicly hosted at http://github.com/stnava/ANTs/blob/master/Scripts/guidedregistration.sh.,github
20181120,24586791,We were able to improve the semiautomatic hippocampal segmentations by using a machine-learning algorithm that corrects systematic errors in semiautomatic segmentations (Automatic Segmentation Tool Adapter; SegAdapter; freely available and publicly hosted at http://www.nitrc.org/projects/segadapter/).,nitrc
20181120,24586791,"All of the hippocampi evaluated in the present study were manually segmented by a single trained experimenter as part of a separate study (MRH; Hunsaker et al., in revision; the hippocampus manual tracing protocol is publicly hosted at http://mrhunsaker.github.io/Hippocampus_Protocol).",github
20181120,24586791,"Each of the MRI scans had previously been manually traced using a rigorous protocol by a single reliable tracer as part of a separate study (Hunsaker et al., in revision; http://mrhunsaker.github.io/Hippocampus_Protocol/).",github
20181120,24586791,"By extension, if researchers have maps for cortical regions of interest (e.g., the UNC Primate Brain Atlas available at http://www.nitrc.org/projects/primate_atlas/), so long as systematic landmarks can be placed across brains, it is possible to increase the reliability of diffeomorphic warping of the cortical tracings onto experimental MRI scans.",nitrc
20181223,24587841,These data are archived in the Database for Genotypes and Phenotypes (dbGaP)4.,dbgap
20181223,24587841,http://www.ncbi.nlm.nih.gov/gap,nih.gov/gap
20181123,24596546,Available from: http://mouse.brain-map.org.,brain-map.org
20181203,24642753,We utilize one of the only approaches to date that has been shown to reliably recover these parameters in heterogeneous and homogeneous samples of individuals: Group Iterative Multiple Model Estimation (GIMME; http://www.nitrc.org/projects/gimme/).,nitrc
20190101,24650325,Institutional certification was obtained from all sites to share de-identified data collected for this project with dbGaP (database of Genotypes and Phenotypes).,dbgap
20190101,24650325,Institutional certification was obtained for the submission of genotype and phenotype data of AIDHS to dbGaP.,dbgap
20190101,24650325,Institutional certification was obtained for the deposition of genetic and phenotypic data into dbGaP.,dbgap
20190101,24650325,Study-specific protocols and data will eventually be available in dbGaP for all of the PhenX RISING sites.,dbgap
20181220,24657781,"After processing all datasets with this protocol, we performed heritability analyses using the Sequential Oligogenic Linkage Analysis Routines (SOLAR) software package (http://www.nitrc.org/projects/se_linux) for tract-average FA values as well as on a detailed voxel-wise level.",nitrc
20181220,24657781,"The variance components method, as implemented in the Sequential Oligogenic Linkage Analysis Routines (SOLAR) software package (http://www.nitrc.org/projects/se_linux) was used for all individual cohort heritability estimations.",nitrc
20181217,24659134,"To further control for the influence of artifacts on our fMRI data, we utilized the Artifact Detection Tools (ART) developed by Shay Mozes and Susan Whitfield-Gabrieli (http://www.nitrc.org/projects/artifact_detect/) to identify signal intensity and combined motion-signal intensity outliers in conjunction with the movement parameters calculated in SPM.",nitrc
20181217,24670167,This platform has been used extensively for genomewide mapping of brainwide transcript distributions in mouse brain and for targeted analysis in brain tissue obtained from nonhuman primates and from humans (www.brain-map.org).,brain-map.org
20181230,24695228,Author Information The Allen Mouse Brain Connectivity Atlas is accessible at (http://connectivity.brain-map.org).,brain-map.org
20181222,24718622,(2010) and made publicly available via the 1000 Functional Connectomes Project (http://fcon_1000.projects.nitrc.org).,fcon_1000.projects
20181210,24735413,"All the gene annotations, gene deserts, pericentromeres and subtelomeres are used to build a genome package for the “region analysis” utility (https://github.com/shenlab-sinai/region_analysis) on the fly, which is used to perform location-based classifications on CGIs and DHSs.",github
20181222,24736177,The Allen Human Brain Atlas (http://human.brain-map.org/) was utilized to examine the expression patterns of genes that were significantly genetically correlated with FA in human white matter.,brain-map.org
20181222,24736177,"These data can be downloaded and visualized at the following 2 links, For GNA13 and CCDC91 respectively: http://human.brain-map.org/microarray/search/show?exact_match=false&search_term=GNA13&search_type=gene http://human.brain-map.org/microarray/search/show?exact_match=false&search_term=ccdc91&search_type=gene",brain-map.org
20181223,24745957,According to Talairach Daemon Atlas (http://www.nitrc.org/projects/tal-daemon/).,nitrc
20181205,24763508,"Functional connectivity was measured using the resting-state fMRI toolbox, CONN v.1.2 (http://www.nitrc.org/projects/conn; ).",nitrc
20181205,24763508,"In addition, the artifact detection tool (ART: http://www.nitrc.org/projects/artifact_detect) was used to measure motion artifacts in all subjects.",nitrc
20181220,24766286,"These data were obtained on the same scanner with the same protocol, pulse sequence, and same instructions to participants for resting state scanning, and are included for public release in 2014 as part of the Consortium for Reliability and Reproducibility dataset from the International Neuroimaging Datasharing Initiative (http://fcon_1000.projects.nitrc.org/indi/IndiRetro.html).",fcon_1000.projects
20181222,24773108,"Notably, an NIH-sponsored resource exists to facilitate access to data from large-scale studies focusing on relations between genes and clinical phenotypes of differing types (; see http://www.ncbi.nlm.nih.gov/gap), and investigative consortia have been established for the broader purpose of delineating linkages across multiple levels of analysis (from genomic to brain cellular to psychological processes to behavior expression) in the study of psychological disorders (cf.",nih.gov/gap
20181220,24777387,All data and resources referred in the article are available on the “Rosetta bit” project on NITRC at http://www.nitrc.org/projects/rosetta/.,nitrc
20181220,24777387,"To download the dataset from NITRC, a user only needs to check out the svn repository for the project.",nitrc
20181220,24777387,"On the project page on NITRC, go to the “Source Code” tab and follow the instructions.",nitrc
20181220,24777387,"To contribute data to the project, one must “join” the project using the NITRC web portal and certify that one has permission to release the data.",nitrc
20181124,24778614,"The re-use of genetic data has been facilitated by dbGAP, NIH's repository for sharing genome-wide scan datasets, gene expression datasets, methylation datasets, and other genomic measures.",dbgap
20181124,24778614,"While dbGAP has been a resounding success, it has its drawbacks.",dbgap
20181124,24778614,DbGAP's sharing requirements are driven by the need to ensure the data are handled appropriately and the subjects' confidentiality and privacy are protected; requesting a dataset entails both the PI and their institutional official signing an agreement as well as a review by the study designate.,dbgap
20181124,24778614,2https://github.com/nitishsrivastava/deepnet,github
20181112,24791664,"Custom-written Python programs (available at https://github.com/EliMor/LabScripts) applied a fast Fourier transform (FFT) length of 4,096 samples to locate and extract the 20 s segments of the files corresponding to the frequency of the tone CS with an additional 20 s before each tone onset and after each tone offset.",github
20181220,24791745,https://github.com/sjgershm/tlsa_matlab,github
20181123,24821223,"To increase the power of the study to detect significant association, we also included 1 984 unrelated controls (genotyped with Illumina’s HumanOMNI1-QUAD bead chip) from a previously published study on Parkinson’s disease (dbGaP accession number phs000196.v2.p1) .",dbgap
20181220,24840174,"The full release of the aggregated dataset (known as the 1000 Functional Connectomes Project, http://fcon_1000.projects.nitrc.org/) in December 2009 has led to more than 100 peer-reviewed papers published by investigators throughout the world.",fcon_1000.projects
20181220,24840174,Pediatric efforts such as the ADHD-200 Project and the Autism Brain Imaging Data Exchange (ABIDE) [http://fcon_1000.projects.nitrc.org/indi/abide/] have been conducted as community efforts without dedicated external funding.,fcon_1000.projects
20181219,24844743,"RS fMRI images of 132 healthy volunteers between 18 and 85 years (mean age 42.3 ± 18.08 years; 78 males) from the NKI/Rockland sample were obtained through the 1000 Functional Connectomes project (www.nitrc.org/projects/fcon_1000/; Nooner et al., 2012).",nitrc
20181220,24866045,"screened 31,622 voxels and 448,293 SNPs to search for genetic variants related to regional brain volumes in around 700 participants scanned as part of the Alzheimer’s Disease Neuroimaging Initiative (ADNI; http://adni.loni.usc.edu/).",loni.usc.edu
20181219,24869925,"Resting state images were obtained from the Nathan Kline Institute “Rockland” sample, which are available online as part of the International Neuroimaging Data-sharing Initiative (http://fcon_1000.projects.nitrc.org/indi/pro/nki.html).",fcon_1000.projects
20181218,24878823,"Data were obtained from the Nathan Kline Institute ‘Rockland’ sample, which is available online as part of the International Neuroimaging Datasharing Initiative (http://fcon_1000.projects.nitrc.org/indi/pro/nki.html).",fcon_1000.projects
